City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
231,Dataganj,IN,81.07,overcast clouds,28.0333,79.4,Hani Traders
232,Westport,US,74.8,broken clouds,41.1415,-73.3579,The Westport Inn
234,Lekoni,GA,79.38,overcast clouds,-1.5843,14.2591,Rendez-vous Des ChasseursD
236,Kirakira,SB,79.41,overcast clouds,-10.4544,161.9205,SanBiz Lodge
237,Bonthe,SL,76.73,light rain,7.5264,-12.505,Bonthe Holiday Village
239,Eydhafushi,MV,81.93,overcast clouds,5.1033,73.0708,Soneva Fushi
240,La Ronge,CA,84.45,smoke,55.1001,-105.2842,Northland Motor Hotel
241,Salalah,OM,77.09,overcast clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
242,Sao Filipe,CV,76.01,clear sky,14.8961,-24.4956,Hotel Xaguate
245,Mogadishu,SO,75.6,light rain,2.0371,45.3438,Hotel Juba
259,Mbandaka,CD,71.76,overcast clouds,0.0487,18.2603,Guest House Epervier
265,Lahat,ID,70.66,overcast clouds,-3.8,103.5333,Hotel Grand Zuri Lahat by ZHM
266,Pasighat,IN,75.16,few clouds,28.0667,95.3333,Siang Guest House
270,Kisangani,CD,72.37,overcast clouds,0.5167,25.2,Grand Ramela Hotel
271,Lewistown,US,70.48,clear sky,40.5992,-77.5714,Quality Inn & Suites
273,Namatanai,PG,82.49,few clouds,-3.6667,152.4333,Seagulls Inn Namatani
275,Sarangani,PH,83.35,light rain,5.4033,125.4636,Ballistic Islet
286,Turayf,SA,79.05,clear sky,31.6725,38.6637,Turaif
288,Ugoofaaru,MV,82.35,overcast clouds,5.6667,73.0,Ungoofaaru Inn
289,Larap,PH,80.67,light rain,14.299,122.6504,Montemayor Cove
292,Boysun,UZ,71.62,clear sky,38.2061,67.1986,Gaza Hotel
293,Aninoasa,RO,72.68,clear sky,44.9667,25.4333,Hotel Dâmbovița
297,Oranjestad,AW,84.15,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
301,Ketchikan,US,70.27,clear sky,55.3422,-131.6461,Snows Cove Lodge
