City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
82,Shitanjing,CN,2021-07-29 22:36:20,39.2342,106.3439,76.6,25,0,3.22
83,Palasa,IN,2021-07-29 22:36:21,18.7667,84.4167,77.58,81,100,7.05
84,Iqaluit,CA,2021-07-29 22:36:21,63.7506,-68.5145,51.53,76,40,12.66
85,Dharmapuri,IN,2021-07-29 22:36:22,12.1333,78.1667,74.79,67,100,7.49
86,Bundaberg,AU,2021-07-29 22:36:22,-24.85,152.35,66.22,52,0,5.01
87,Carutapera,BR,2021-07-29 22:36:22,-1.195,-46.02,75.2,94,31,6.87
88,Strezhevoy,RU,2021-07-29 22:36:23,60.7333,77.5889,49.98,94,100,6.96
89,Atuona,PF,2021-07-29 22:34:46,-9.8,-139.0333,77.07,80,31,14.16
90,Lebu,CL,2021-07-29 22:36:23,-37.6167,-73.65,49.64,84,1,6.53
91,Ribeira Grande,PT,2021-07-29 22:36:23,38.5167,-28.7,70.77,87,5,10.31
92,Rio Gallegos,AR,2021-07-29 22:36:23,-51.6226,-69.2181,44.65,53,0,11.5
93,Sarakhs,IR,2021-07-29 22:36:24,36.5449,61.1577,78.94,50,0,6.91
94,Thompson,CA,2021-07-29 22:36:10,55.7435,-97.8558,75.36,35,40,8.05
95,Gimli,CA,2021-07-29 22:36:24,50.6336,-96.9907,85.42,49,73,9.22
96,Indaial,BR,2021-07-29 22:36:25,-26.8978,-49.2317,47.48,80,0,2.04
97,Rocha,UY,2021-07-29 22:36:25,-34.4833,-54.3333,40.66,82,13,4.81
98,Cidreira,BR,2021-07-29 22:36:25,-30.1811,-50.2056,46.58,67,6,8.95
99,Nuuk,GL,2021-07-29 22:36:26,64.1835,-51.7216,52.41,71,11,6.91
100,Usinsk,RU,2021-07-29 22:36:26,65.9939,57.5281,42.17,89,32,7.52
101,Ouro Preto Do Oeste,BR,2021-07-29 22:36:26,-10.7481,-62.2158,70.56,32,6,4.45
102,Castro,BR,2021-07-29 22:34:26,-24.7911,-50.0119,35.91,59,4,2.04
103,Praia,CV,2021-07-29 22:36:27,14.9215,-23.5087,77.54,73,40,12.66
104,Barrow,US,2021-07-29 22:31:41,71.2906,-156.7887,53.62,87,90,8.05
105,Charters Towers,AU,2021-07-29 22:36:27,-20.1,146.2667,71.78,39,30,4.76
106,Vaini,TO,2021-07-29 22:36:27,-21.2,-175.2,75.36,78,20,9.22
107,Macenta,GN,2021-07-29 22:36:28,8.5435,-9.471,66.99,97,98,0.56
108,Kuandian,CN,2021-07-29 22:36:28,40.7286,124.7847,76.24,88,58,3.22
